yearID,Valuation,TeamID,CurTeamID,
2002,182,TOR,TOR,
2003,166,TOR,TOR,
2004,169,TOR,TOR,
2005,214,TOR,TOR,
2006,286,TOR,TOR,
2007,344,TOR,TOR,
2008,352,TOR,TOR,
2009,353,TOR,TOR,
2010,326,TOR,TOR,
2011,337,TOR,TOR,
2012,413,TOR,TOR,
2013,568,TOR,TOR,
2014,610,TOR,TOR,
2015,870,TOR,TOR,
2016,900,TOR,TOR,
2017,1300,TOR,TOR,
2018,1350,TOR,TOR,
2019,1500,TOR,TOR,
2020,1625,TOR,TOR,
2021,1675,TOR,TOR,
2022,1780,TOR,TOR,
2002,319,BAL,BAL,
2003,310,BAL,BAL,
2004,296,BAL,BAL,
2005,341,BAL,BAL,
2006,359,BAL,BAL,
2007,395,BAL,BAL,
2008,398,BAL,BAL,
2009,400,BAL,BAL,
2010,376,BAL,BAL,
2011,411,BAL,BAL,
2012,460,BAL,BAL,
2013,618,BAL,BAL,
2014,620,BAL,BAL,
2015,1000,BAL,BAL,
2016,1000,BAL,BAL,
2017,1175,BAL,BAL,
2018,1200,BAL,BAL,
2019,1300,BAL,BAL,
2020,1400,BAL,BAL,
2021,1430,BAL,BAL,
2022,1375,BAL,BAL,
2002,142,TBA,TBA,
2003,145,TBA,TBA,
2004,152,TBA,TBA,
2005,176,TBA,TBA,
2006,209,TBA,TBA,
2007,267,TBA,TBA,
2008,290,TBA,TBA,
2009,320,TBA,TBA,
2010,316,TBA,TBA,
2011,331,TBA,TBA,
2012,323,TBA,TBA,
2013,451,TBA,TBA,
2014,485,TBA,TBA,
2015,625,TBA,TBA,
2016,650,TBA,TBA,
2017,825,TBA,TBA,
2018,900,TBA,TBA,
2019,1000,TBA,TBA,
2020,1050,TBA,TBA,
2021,1055,TBA,TBA,
2022,1100,TBA,TBA,
2002,730,NYA,NYA,
2003,849,NYA,NYA,
2004,832,NYA,NYA,
2005,850,NYA,NYA,
2006,1026,NYA,NYA,
2007,1200,NYA,NYA,
2008,1306,NYA,NYA,
2009,1500,NYA,NYA,
2010,1600,NYA,NYA,
2011,1700,NYA,NYA,
2012,1851,NYA,NYA,
2013,2300,NYA,NYA,
2014,2500,NYA,NYA,
2015,3200,NYA,NYA,
2016,3400,NYA,NYA,
2017,3700,NYA,NYA,
2018,4000,NYA,NYA,
2019,4600,NYA,NYA,
2020,5000,NYA,NYA,
2021,5250,NYA,NYA,
2022,6000,NYA,NYA,
2002,426,BOS,BOS,
2003,488,BOS,BOS,
2004,533,BOS,BOS,
2005,563,BOS,BOS,
2006,617,BOS,BOS,
2007,724,BOS,BOS,
2008,816,BOS,BOS,
2009,833,BOS,BOS,
2010,870,BOS,BOS,
2011,912,BOS,BOS,
2012,1000,BOS,BOS,
2013,1312,BOS,BOS,
2014,1500,BOS,BOS,
2015,2100,BOS,BOS,
2016,2300,BOS,BOS,
2017,2700,BOS,BOS,
2018,2800,BOS,BOS,
2019,3200,BOS,BOS,
2020,3300,BOS,BOS,
2021,3465,BOS,BOS,
2022,3900,BOS,BOS,
2002,152,KCA,KCA,
2003,153,KCA,KCA,
2004,171,KCA,KCA,
2005,187,KCA,KCA,
2006,239,KCA,KCA,
2007,282,KCA,KCA,
2008,301,KCA,KCA,
2009,314,KCA,KCA,
2010,341,KCA,KCA,
2011,351,KCA,KCA,
2012,354,KCA,KCA,
2013,457,KCA,KCA,
2014,490,KCA,KCA,
2015,700,KCA,KCA,
2016,865,KCA,KCA,
2017,950,KCA,KCA,
2018,1015,KCA,KCA,
2019,1000,KCA,KCA,
2020,1025,KCA,KCA,
2021,1060,KCA,KCA,
2022,1110,KCA,KCA,
2002,262,DET,DET,
2003,237,DET,DET,
2004,235,DET,DET,
2005,239,DET,DET,
2006,292,DET,DET,
2007,357,DET,DET,
2008,407,DET,DET,
2009,371,DET,DET,
2010,375,DET,DET,
2011,385,DET,DET,
2012,478,DET,DET,
2013,643,DET,DET,
2014,680,DET,DET,
2015,1125,DET,DET,
2016,1150,DET,DET,
2017,1200,DET,DET,
2018,1225,DET,DET,
2019,1300,DET,DET,
2020,1250,DET,DET,
2021,1260,DET,DET,
2022,1400,DET,DET,
2002,223,CHA,CHA,
2003,233,CHA,CHA,
2004,248,CHA,CHA,
2005,262,CHA,CHA,
2006,315,CHA,CHA,
2007,381,CHA,CHA,
2008,443,CHA,CHA,
2009,450,CHA,CHA,
2010,466,CHA,CHA,
2011,526,CHA,CHA,
2012,600,CHA,CHA,
2013,692,CHA,CHA,
2014,695,CHA,CHA,
2015,975,CHA,CHA,
2016,1050,CHA,CHA,
2017,1350,CHA,CHA,
2018,1500,CHA,CHA,
2019,1600,CHA,CHA,
2020,1650,CHA,CHA,
2021,1685,CHA,CHA,
2022,1760,CHA,CHA,
2002,127,MIN,MIN,
2003,148,MIN,MIN,
2004,168,MIN,MIN,
2005,178,MIN,MIN,
2006,216,MIN,MIN,
2007,288,MIN,MIN,
2008,328,MIN,MIN,
2009,356,MIN,MIN,
2010,405,MIN,MIN,
2011,490,MIN,MIN,
2012,510,MIN,MIN,
2013,578,MIN,MIN,
2014,605,MIN,MIN,
2015,895,MIN,MIN,
2016,910,MIN,MIN,
2017,1025,MIN,MIN,
2018,1150,MIN,MIN,
2019,1200,MIN,MIN,
2020,1300,MIN,MIN,
2021,1325,MIN,MIN,
2022,1390,MIN,MIN,
2002,360,CLE,CLE,
2003,331,CLE,CLE,
2004,292,CLE,CLE,
2005,319,CLE,CLE,
2006,352,CLE,CLE,
2007,364,CLE,CLE,
2008,417,CLE,CLE,
2009,399,CLE,CLE,
2010,391,CLE,CLE,
2011,353,CLE,CLE,
2012,410,CLE,CLE,
2013,559,CLE,CLE,
2014,570,CLE,CLE,
2015,825,CLE,CLE,
2016,800,CLE,CLE,
2017,920,CLE,CLE,
2018,1045,CLE,CLE,
2019,1200,CLE,CLE,
2020,1150,CLE,CLE,
2021,1160,CLE,CLE,
2022,1300,CLE,CLE,
2002,356,TEX,TEX,
2003,332,TEX,TEX,
2004,306,TEX,TEX,
2005,326,TEX,TEX,
2006,353,TEX,TEX,
2007,365,TEX,TEX,
2008,412,TEX,TEX,
2009,405,TEX,TEX,
2010,451,TEX,TEX,
2011,561,TEX,TEX,
2012,674,TEX,TEX,
2013,764,TEX,TEX,
2014,825,TEX,TEX,
2015,1220,TEX,TEX,
2016,1225,TEX,TEX,
2017,1550,TEX,TEX,
2018,1600,TEX,TEX,
2019,1700,TEX,TEX,
2020,1750,TEX,TEX,
2021,1785,TEX,TEX,
2022,2050,TEX,TEX,
2002,373,SEA,SEA,
2003,385,SEA,SEA,
2004,396,SEA,SEA,
2005,415,SEA,SEA,
2006,428,SEA,SEA,
2007,436,SEA,SEA,
2008,466,SEA,SEA,
2009,426,SEA,SEA,
2010,439,SEA,SEA,
2011,449,SEA,SEA,
2012,585,SEA,SEA,
2013,644,SEA,SEA,
2014,710,SEA,SEA,
2015,1100,SEA,SEA,
2016,1200,SEA,SEA,
2017,1400,SEA,SEA,
2018,1450,SEA,SEA,
2019,1600,SEA,SEA,
2020,1600,SEA,SEA,
2021,1630,SEA,SEA,
2022,1700,SEA,SEA,
2002,337,HOU,HOU,
2003,327,HOU,HOU,
2004,320,HOU,HOU,
2005,357,HOU,HOU,
2006,416,HOU,HOU,
2007,442,HOU,HOU,
2008,463,HOU,HOU,
2009,445,HOU,HOU,
2010,453,HOU,HOU,
2011,474,HOU,HOU,
2012,549,HOU,HOU,
2013,626,HOU,HOU,
2014,530,HOU,HOU,
2015,800,HOU,HOU,
2016,1100,HOU,HOU,
2017,1450,HOU,HOU,
2018,1650,HOU,HOU,
